Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	post-vent region quality, abnormal	IAO:0000115	Abnormality of post-vent region.
ERROR	multiple_definitions	intersegmental vessel malformed, abnormal	IAO:0000115	A malformed intersegmental vessel.
ERROR	multiple_definitions	intersegmental vessel malformed, abnormal	IAO:0000115	Abnormal(ly) malformed (of) intersegmental vessel.
ERROR	multiple_definitions	intersegmental vessel malformed, abnormal	IAO:0000115	An abnormally formed/malformed intersegmental vessel.
ERROR	multiple_definitions	hematopoietic stem cell decreased amount, abnormal	IAO:0000115	Abnormal(ly) decreased amount (of) hematopoietic stem cell.
ERROR	multiple_definitions	hematopoietic stem cell decreased amount, abnormal	IAO:0000115	The presence of a reduced number of hematopoietic stem cell.
ERROR	multiple_definitions	hindbrain morphology, abnormal	IAO:0000115	Abnormal(ly) morphology (of) hindbrain.
ERROR	multiple_definitions	hindbrain morphology, abnormal	IAO:0000115	Any unspecified morphological anomaly of the hindbrain, such as, for example, abnormal shape or colour.
ERROR	multiple_definitions	motor neuron spinal cord decreased amount, abnormal	IAO:0000115	Abnormal(ly) decreased amount (of) spinal cord of motor neuron.
ERROR	multiple_definitions	motor neuron spinal cord decreased amount, abnormal	IAO:0000115	The presence of a reduced number of motor neuron in the spinal cord.
ERROR	multiple_definitions	spinal cord interneuron decreased amount, abnormal	IAO:0000115	Abnormal(ly) decreased amount (of) spinal cord interneuron.
ERROR	multiple_definitions	spinal cord interneuron decreased amount, abnormal	IAO:0000115	The presence of a reduced number of spinal cord interneuron.
ERROR	multiple_definitions	trunk decreased length, abnormal	IAO:0000115	Abnormal(ly) decreased length (of) trunk.
ERROR	multiple_definitions	trunk decreased length, abnormal	IAO:0000115	Decreased length or shortening of the trunk.
ERROR	multiple_definitions	post-vent region decreased length, abnormal	IAO:0000115	Abnormal(ly) decreased length (of) post-vent region.
ERROR	multiple_definitions	post-vent region decreased length, abnormal	IAO:0000115	Decreased length or shortening of the post-vent region.
ERROR	multiple_definitions	swim bladder inflation arrested, abnormal	IAO:0000115	Abnormal(ly) arrested (of) swim bladder inflation.
ERROR	multiple_definitions	swim bladder inflation arrested, abnormal	IAO:0000115	Arrested swim bladder inflation.
ERROR	multiple_definitions	brain quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) brain.
ERROR	multiple_definitions	brain quality, abnormal	IAO:0000115	Abnormality of brain.
ERROR	multiple_definitions	endoderm morphology, abnormal	IAO:0000115	Abnormal(ly) morphology (of) endoderm.
ERROR	multiple_definitions	endoderm morphology, abnormal	IAO:0000115	Any unspecified morphological anomaly of the endoderm, such as, for example, abnormal shape or colour.
ERROR	multiple_definitions	hindbrain quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) hindbrain.
ERROR	multiple_definitions	hindbrain quality, abnormal	IAO:0000115	Abnormality of hindbrain.
ERROR	multiple_definitions	midbrain hindbrain boundary malformed, abnormal	IAO:0000115	A malformed midbrain hindbrain boundary.
ERROR	multiple_definitions	midbrain hindbrain boundary malformed, abnormal	IAO:0000115	Abnormal(ly) malformed (of) midbrain hindbrain boundary.
ERROR	multiple_definitions	midbrain hindbrain boundary malformed, abnormal	IAO:0000115	An abnormally formed/malformed midbrain hindbrain boundary.
ERROR	multiple_definitions	neural crest quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) neural crest.
ERROR	multiple_definitions	neural crest quality, abnormal	IAO:0000115	Abnormality of neural crest.
ERROR	multiple_definitions	pericardium edematous, abnormal	IAO:0000115	Abnormal accumulation of fluid in pericardium.
ERROR	multiple_definitions	pericardium edematous, abnormal	IAO:0000115	Abnormal(ly) edematous (of) pericardium.
ERROR	multiple_definitions	yolk quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) yolk.
ERROR	multiple_definitions	yolk quality, abnormal	IAO:0000115	Abnormality of yolk.
ERROR	multiple_definitions	pharyngeal arch 3-7 skeleton quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) pharyngeal arch 3-7 skeleton.
ERROR	multiple_definitions	pharyngeal arch 3-7 skeleton quality, abnormal	IAO:0000115	Abnormality of pharyngeal arch 3-7 skeleton.
ERROR	multiple_definitions	cerebellum malformed, abnormal	IAO:0000115	A malformed cerebellum.
ERROR	multiple_definitions	cerebellum malformed, abnormal	IAO:0000115	Abnormal(ly) malformed (of) cerebellum.
ERROR	multiple_definitions	cerebellum malformed, abnormal	IAO:0000115	An abnormally formed/malformed cerebellum.
ERROR	multiple_definitions	eye decreased size, abnormal	IAO:0000115	Abnormal(ly) decreased size (of) eye.
ERROR	multiple_definitions	eye decreased size, abnormal	IAO:0000115	An abnormal reduction in the size of the eye.
ERROR	multiple_definitions	heart quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) heart.
ERROR	multiple_definitions	heart quality, abnormal	IAO:0000115	Abnormality of heart.
ERROR	multiple_definitions	pectoral fin bud aplastic, abnormal	IAO:0000115	Abnormal(ly) aplastic (of) pectoral fin bud.
ERROR	multiple_definitions	pectoral fin bud aplastic, abnormal	IAO:0000115	Congenital absence of the pectoral fin bud.
ERROR	multiple_definitions	retinal photoreceptor layer disorganized, abnormal	IAO:0000115	Abnormal(ly) disorganized (of) retinal photoreceptor layer.
ERROR	multiple_definitions	retinal photoreceptor layer disorganized, abnormal	IAO:0000115	Disorganization of retinal photoreceptor layer.
ERROR	multiple_definitions	retina morphology, abnormal	IAO:0000115	Abnormal(ly) morphology (of) retina.
ERROR	multiple_definitions	retina morphology, abnormal	IAO:0000115	Any unspecified morphological anomaly of the retina, such as, for example, abnormal shape or colour.
ERROR	multiple_definitions	surface structure quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) surface structure.
ERROR	multiple_definitions	surface structure quality, abnormal	IAO:0000115	Abnormality of surface structure.
ERROR	multiple_definitions	optic tectum decreased size, abnormal	IAO:0000115	Abnormal(ly) decreased size (of) optic tectum.
ERROR	multiple_definitions	optic tectum decreased size, abnormal	IAO:0000115	An abnormal reduction in the size of the optic tectum.
ERROR	multiple_definitions	optic tectum disorganized, abnormal	IAO:0000115	Abnormal(ly) disorganized (of) optic tectum.
ERROR	multiple_definitions	optic tectum disorganized, abnormal	IAO:0000115	Disorganization of optic tectum.
ERROR	multiple_definitions	optic primordium morphology, abnormal	IAO:0000115	Abnormal(ly) morphology (of) optic primordium.
ERROR	multiple_definitions	optic primordium morphology, abnormal	IAO:0000115	Any unspecified morphological anomaly of the optic primordium, such as, for example, abnormal shape or colour.
ERROR	multiple_definitions	RoL2 rhombomere 4 mislocalised, abnormal	IAO:0000115	Abnormal location of the RoL2 in the rhombomere 4.
ERROR	multiple_definitions	RoL2 rhombomere 4 mislocalised, abnormal	IAO:0000115	Abnormal(ly) mislocalised (of) rhombomere 4 of RoL2.
ERROR	multiple_definitions	head decreased size, abnormal	IAO:0000115	Abnormal(ly) decreased size (of) head.
ERROR	multiple_definitions	head decreased size, abnormal	IAO:0000115	An abnormal reduction in the size of the head.
ERROR	multiple_definitions	pectoral fin quality, abnormal	IAO:0000115	Abnormal(ly) quality (of) pectoral fin.
ERROR	multiple_definitions	pectoral fin quality, abnormal	IAO:0000115	Abnormality of pectoral fin.
ERROR	multiple_definitions	pectoral fin aplastic, abnormal	IAO:0000115	Abnormal(ly) aplastic (of) pectoral fin.
ERROR	multiple_definitions	pectoral fin aplastic, abnormal	IAO:0000115	Congenital absence of the pectoral fin.
