ID [IRI]	LABEL
http://purl.obolibrary.org/obo/PATO_0002432	spade-shaped
http://purl.obolibrary.org/obo/PATO_0002445	torsioned
http://purl.obolibrary.org/obo/PATO_0002484	inverted-V shaped
http://purl.obolibrary.org/obo/PATO_0005020	irregularly shaped
http://purl.obolibrary.org/obo/PATO_0015001	absence due to degeneration
http://purl.obolibrary.org/obo/PATO_0015007	prominence
http://purl.obolibrary.org/obo/PATO_0015019	C-shaped
http://purl.obolibrary.org/obo/PATO_0030000	anteriorized
http://purl.obolibrary.org/obo/PATO_0030001	dorsalized
http://purl.obolibrary.org/obo/PATO_0030002	posteriorized
http://purl.obolibrary.org/obo/PATO_0030003	ventralized
http://purl.obolibrary.org/obo/PATO_0030007	partially ventralized
http://purl.obolibrary.org/obo/PATO_0040019	fibrotic
http://purl.obolibrary.org/obo/PATO_0040022	flared
http://purl.obolibrary.org/obo/PATO_0040025	lesioned
http://purl.obolibrary.org/obo/PATO_0040034	fractured
http://purl.obolibrary.org/obo/PATO_0040040	compression-fractured
http://purl.obolibrary.org/obo/PATO_0040058	absence of physical object
http://purl.obolibrary.org/obo/PATO_0040060	absence of anatomical entity
http://purl.obolibrary.org/obo/PATO_0045001	normal object quality
http://purl.obolibrary.org/obo/PATO_0045013	normal curvature
http://purl.obolibrary.org/obo/PATO_0065001	lysed
http://purl.obolibrary.org/obo/PATO_0065002	patchy pigmentation
http://purl.obolibrary.org/obo/PATO_0070044	anatomical structure quality
http://purl.obolibrary.org/obo/PATO_0070060	quality of interaction of a substance with electromagnetic radiation
http://purl.obolibrary.org/obo/PATO_0103000	quantitative
http://purl.obolibrary.org/obo/ZFA_0000000	Brachet's cleft
http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle
http://purl.obolibrary.org/obo/ZFA_0000003	adaxial cell
http://purl.obolibrary.org/obo/ZFA_0000004	anterior axial hypoblast
http://purl.obolibrary.org/obo/ZFA_0000005	artery
http://purl.obolibrary.org/obo/ZFA_0000006	ball
http://purl.obolibrary.org/obo/ZFA_0000007	blood
http://purl.obolibrary.org/obo/ZFA_0000008	brain
http://purl.obolibrary.org/obo/ZFA_0000009	cardiac ventricle
http://purl.obolibrary.org/obo/ZFA_0000010	cardiovascular system
http://purl.obolibrary.org/obo/ZFA_0000011	caudal artery
http://purl.obolibrary.org/obo/ZFA_0000012	central nervous system
http://purl.obolibrary.org/obo/ZFA_0000013	cranial ganglion
http://purl.obolibrary.org/obo/ZFA_0000014	dorsal aorta
http://purl.obolibrary.org/obo/ZFA_0000016	ectoderm
http://purl.obolibrary.org/obo/ZFA_0000017	endoderm
http://purl.obolibrary.org/obo/ZFA_0000018	epiblast
http://purl.obolibrary.org/obo/ZFA_0000019	epiphysis
http://purl.obolibrary.org/obo/ZFA_0000020	extraembryonic structure
http://purl.obolibrary.org/obo/ZFA_0000022	floor plate
http://purl.obolibrary.org/obo/ZFA_0000023	forerunner cell group
http://purl.obolibrary.org/obo/ZFA_0000024	retinal ganglion cell layer
http://purl.obolibrary.org/obo/ZFA_0000026	hatching gland
http://purl.obolibrary.org/obo/ZFA_0000027	paired fin skeleton
http://purl.obolibrary.org/obo/ZFA_0000028	heart primordium
http://purl.obolibrary.org/obo/ZFA_0000029	hindbrain
http://purl.obolibrary.org/obo/ZFA_0000030	macula utricle
http://purl.obolibrary.org/obo/ZFA_0000031	hypochord
http://purl.obolibrary.org/obo/ZFA_0000032	hypothalamus
http://purl.obolibrary.org/obo/ZFA_0000033	intermediate cell mass of mesoderm
http://purl.obolibrary.org/obo/ZFA_0000034	lateral line system
http://purl.obolibrary.org/obo/ZFA_0000035	lens
http://purl.obolibrary.org/obo/ZFA_0000036	liver and biliary system
http://purl.obolibrary.org/obo/ZFA_0000037	anatomical structure
http://purl.obolibrary.org/obo/ZFA_0000038	margin
http://purl.obolibrary.org/obo/ZFA_0000039	median axial vein
http://purl.obolibrary.org/obo/ZFA_0000040	median fin fold
http://purl.obolibrary.org/obo/ZFA_0000041	mesoderm
http://purl.obolibrary.org/obo/ZFA_0000042	midbrain hindbrain boundary
http://purl.obolibrary.org/obo/ZFA_0000043	muscle pioneer somite 1
http://purl.obolibrary.org/obo/ZFA_0000044	myotome somite 14
http://purl.obolibrary.org/obo/ZFA_0000045	neural crest
http://purl.obolibrary.org/obo/ZFA_0000046	retinal neural layer
http://purl.obolibrary.org/obo/ZFA_0000047	peripheral olfactory organ
http://purl.obolibrary.org/obo/ZFA_0000048	olfactory placode
http://purl.obolibrary.org/obo/ZFA_0000049	optic recess
http://purl.obolibrary.org/obo/ZFA_0000050	optic vesicle
http://purl.obolibrary.org/obo/ZFA_0000051	otic vesicle
http://purl.obolibrary.org/obo/ZFA_0000052	dorsal actinotrichium
http://purl.obolibrary.org/obo/ZFA_0000053	presumptive segmental plate
http://purl.obolibrary.org/obo/ZFA_0000054	pericardium
http://purl.obolibrary.org/obo/ZFA_0000056	pharynx
http://purl.obolibrary.org/obo/ZFA_0000058	polster
http://purl.obolibrary.org/obo/ZFA_0000059	postoptic commissure
http://purl.obolibrary.org/obo/ZFA_0000060	prechordal plate
http://purl.obolibrary.org/obo/ZFA_0000062	presumptive forebrain
http://purl.obolibrary.org/obo/ZFA_0000063	presumptive neural plate
http://purl.obolibrary.org/obo/ZFA_0000064	presumptive retinal pigmented epithelium
http://purl.obolibrary.org/obo/ZFA_0000066	proctodeum
http://purl.obolibrary.org/obo/ZFA_0000067	pronephric mesoderm
http://purl.obolibrary.org/obo/ZFA_0000068	proneural cluster
http://purl.obolibrary.org/obo/ZFA_0000069	rhombomere 6
http://purl.obolibrary.org/obo/ZFA_0000071	shield
http://purl.obolibrary.org/obo/ZFA_0000072	somite 1
http://purl.obolibrary.org/obo/ZFA_0000073	somite 5
http://purl.obolibrary.org/obo/ZFA_0000074	somite 26
http://purl.obolibrary.org/obo/ZFA_0000075	spinal cord
http://purl.obolibrary.org/obo/ZFA_0000076	swim bladder
http://purl.obolibrary.org/obo/ZFA_0000077	tail bud
http://purl.obolibrary.org/obo/ZFA_0000078	ventral actinotrichium
http://purl.obolibrary.org/obo/ZFA_0000079	telencephalon
http://purl.obolibrary.org/obo/ZFA_0000080	trigeminal neural crest
http://purl.obolibrary.org/obo/ZFA_0000081	trunk mesenchyme
http://purl.obolibrary.org/obo/ZFA_0000082	vein
http://purl.obolibrary.org/obo/ZFA_0000083	ventral mesoderm
http://purl.obolibrary.org/obo/ZFA_0000084	yolk
http://purl.obolibrary.org/obo/ZFA_0000085	apical ectodermal ridge pectoral fin bud
